ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,17967,0,115,5,12,2506555392,13760,140736795509360,139989821071688,0,111,3367939,400,0,32768,0,5.93068e+07,2.39373e+06,79845,7.6666e+07,2.47358e+06,1.08088e+07,59768,9619,4.47673e+06,590437,4.73629e+07,3.70095e+07,-3.93411e+07,4.18146e+07,387,1.48928e+08,1.50823e+08,7.38018e+07,2.07877e+07,1.41047e+08,2.13058e+09,1.29232e+09,924171,4.15893e+08,2.0328e+08,2.02532e+08,476578,6.13276e+08,1.67423e+09,6.82833e+08,7.4214e+08,8.43724e+07,4.73629e+07,3.70095e+07,1.50116e+09,1.66349e+07,1.50878e+09,1.67147e+07,1.16287e+08,2.25092e+09,1.18761e+08,6.40777e+07,3.70095e+07,313632,220011,924171,924171,924171,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,17991,0,115,5,12,2506555392,13790,140736795509360,139989821071688,0,111,3369179,400,0,32768,0,1.19199e+08,4.79662e+06,159863,1.53498e+08,4.95648e+06,2.16411e+07,119664,19258,8.96449e+06,1.18233e+06,9.48286e+07,7.40992e+07,-7.87636e+07,8.372e+07,774,2.98179e+08,3.01974e+08,1.47763e+08,4.16204e+07,2.82399e+08,4.26579e+09,2.58683e+09,1.84985e+06,8.32802e+08,4.07001e+08,4.05493e+08,953942,1.22793e+09,3.35209e+09,1.36669e+09,1.48589e+09,1.68928e+08,9.48286e+07,7.40992e+07,3.00558e+09,3.33093e+07,3.02084e+09,3.34692e+07,2.32759e+08,4.50672e+09,2.37715e+08,1.28298e+08,7.40992e+07,627775,440500,1.84985e+06,1.84985e+06,1.84985e+06,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18046,0,116,5,12,2506555392,13855,140736795509360,139989821071688,0,111,3370419,400,0,32768,0,1.79808e+08,7.16356e+06,240011,2.30495e+08,7.40357e+06,3.24967e+07,179689,28918,1.34589e+07,1.7751e+06,1.42397e+08,1.11249e+08,-1.1829e+08,1.25694e+08,1162,4.47673e+08,4.53451e+08,2.21885e+08,6.24869e+07,4.23976e+08,6.40447e+09,3.88354e+09,2.77778e+06,1.25039e+09,6.11164e+08,6.08777e+08,1.43235e+06,1.84397e+09,5.03268e+09,2.05103e+09,2.23084e+09,2.53646e+08,1.42397e+08,1.11249e+08,4.51244e+09,5.00134e+07,4.53534e+09,5.02534e+07,3.49523e+08,6.76618e+09,3.56927e+08,1.92651e+08,1.11249e+08,942600,661406,2.77778e+06,2.77778e+06,2.77778e+06,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18046,0,116,5,12,2506555392,13806,140736795509360,139989821071688,0,111,3371659,400,0,32768,0,2.4072e+08,9.49159e+06,319252,3.07617e+08,9.81084e+06,4.33699e+07,239811,38594,1.79621e+07,2.36903e+06,1.90043e+08,1.48479e+08,-1.57947e+08,1.67758e+08,1551,5.97489e+08,6.05174e+08,2.96127e+08,8.33986e+07,5.65864e+08,8.54778e+09,5.18354e+09,3.70721e+06,1.66865e+09,8.15658e+08,8.1249e+08,1.91155e+06,2.46105e+09,6.71691e+09,2.73668e+09,2.9774e+09,3.38522e+08,1.90043e+08,1.48479e+08,6.02255e+09,6.67482e+07,6.05311e+09,6.70675e+07,4.66586e+08,9.03052e+09,4.76397e+08,2.5711e+08,1.48479e+08,1.25794e+06,882730,3.70721e+06,3.70721e+06,3.70721e+06,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18047,0,116,5,12,2506555392,13806,140736795509360,139989821071688,0,111,3372899,400,0,32768,0,3.01733e+08,1.1784e+07,397167,3.84905e+08,1.21812e+07,5.42665e+07,300062,48290,2.24741e+07,2.96413e+06,2.37791e+08,1.8577e+08,-1.97709e+08,2.0989e+08,1941,7.47547e+08,7.57224e+08,3.70528e+08,1.04344e+08,7.07976e+08,1.06946e+10,6.48573e+09,4.63815e+06,2.08793e+09,1.02059e+09,1.01663e+09,2.3918e+06,3.07916e+09,8.40478e+09,3.42344e+09,3.72517e+09,4.23561e+08,2.37791e+08,1.8577e+08,7.53509e+09,8.35142e+07,7.57334e+09,8.39113e+07,5.83879e+08,1.12985e+10,5.9606e+08,3.21703e+08,1.8577e+08,1.57395e+06,1.10447e+06,4.63815e+06,4.63815e+06,4.63815e+06,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18048,0,116,5,12,2506555392,13806,140736795509360,139989821071688,0,111,3374139,400,0,32768,0,3.62848e+08,1.40397e+07,473189,4.62317e+08,1.45129e+07,6.51807e+07,360442,58002,2.6995e+07,3.5604e+06,2.85617e+08,2.2314e+08,-2.376e+08,2.52113e+08,2331,8.97928e+08,9.09519e+08,4.4505e+08,1.25334e+08,8.50399e+08,1.2846e+10,7.79011e+09,5.57134e+06,2.50788e+09,1.22586e+09,1.2211e+09,2.87283e+06,3.69865e+09,1.00954e+10,4.1117e+09,4.47455e+09,5.08757e+08,2.85617e+08,2.2314e+08,9.05089e+09,1.00322e+08,9.09683e+09,1.00795e+08,7.01468e+08,1.35714e+10,7.15981e+08,3.86412e+08,2.2314e+08,1.89065e+06,1.32663e+06,5.57134e+06,5.57134e+06,5.57134e+06,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18048,0,116,5,12,2506555392,13806,140736795509360,139989821071688,0,111,3375379,400,0,32768,0,4.241e+08,1.62609e+07,547629,5.39894e+08,1.68085e+07,7.61183e+07,420918,67735,3.15247e+07,4.15783e+06,3.33545e+08,2.60571e+08,-2.77596e+08,2.94404e+08,2722,1.04855e+09,1.06214e+09,5.19731e+08,1.46359e+08,9.93047e+08,1.50009e+10,9.09669e+09,6.50604e+06,2.92851e+09,1.43157e+09,1.42599e+09,3.35491e+06,4.31918e+09,1.17896e+10,4.80103e+09,5.22513e+09,5.94116e+08,3.33545e+08,2.60571e+08,1.05691e+10,1.17161e+08,1.06228e+10,1.17708e+08,8.19286e+08,1.58479e+10,8.36095e+08,4.51253e+08,2.60571e+08,2.20786e+06,1.54921e+06,6.50604e+06,6.50604e+06,6.50604e+06,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18048,0,117,5,12,2506555392,13806,140736795509360,139989821071688,0,111,3376619,400,0,32768,0,4.85453e+08,1.84834e+07,621748,6.18266e+08,1.91052e+07,8.70792e+07,481523,77488,3.60633e+07,4.75643e+06,3.8155e+08,2.98082e+08,-3.17681e+08,3.36786e+08,3114,1.1995e+09,1.21501e+09,5.94572e+08,1.67428e+08,1.136e+09,1.71604e+10,1.04066e+10,7.44224e+06,3.35016e+09,1.63772e+09,1.63132e+09,3.83778e+06,4.94109e+09,1.34866e+10,5.49187e+09,5.97732e+09,6.79632e+08,3.8155e+08,2.98082e+08,1.20906e+10,1.3403e+08,1.2152e+10,1.34651e+08,9.37361e+08,1.81293e+10,9.56467e+08,5.16202e+08,2.98082e+08,2.52575e+06,1.7722e+06,7.44224e+06,7.44224e+06,7.44224e+06,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18049,0,117,5,12,2506555392,13806,140736795509360,139989821071688,0,111,3377859,400,0,32768,0,5.46942e+08,2.07105e+07,695913,6.97411e+08,2.14065e+07,9.80578e+07,542257,87257,4.06106e+07,5.35619e+06,4.29659e+08,3.35673e+08,-3.57852e+08,3.79259e+08,3507,1.35077e+09,1.3682e+09,6.69533e+08,1.88542e+08,1.27927e+09,1.93245e+10,1.17186e+10,8.3807e+06,3.77248e+09,1.8442e+09,1.83696e+09,4.32169e+06,5.56403e+09,1.51872e+10,6.18418e+09,6.73112e+09,7.65332e+08,4.29659e+08,3.35673e+08,1.36154e+10,1.50938e+08,1.36845e+10,1.51634e+08,1.05563e+09,2.04156e+10,1.07703e+09,5.81293e+08,3.35673e+08,2.84416e+06,1.99567e+06,8.3807e+06,8.3807e+06,8.3807e+06,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18050,0,117,5,12,2506555392,13806,140736795509360,139989821071688,0,111,3379099,400,0,32768,0,6.08532e+08,2.29432e+07,769184,7.77398e+08,2.37124e+07,1.0906e+08,603088,97047,4.51668e+07,5.95712e+06,4.7787e+08,3.73324e+08,-3.98087e+08,4.21799e+08,3900,1.50228e+09,1.52172e+09,7.44654e+08,2.09691e+08,1.42276e+09,2.14921e+10,1.30329e+10,9.32066e+06,4.19582e+09,2.05112e+09,2.04304e+09,4.80665e+06,6.18836e+09,1.68914e+10,6.87759e+09,7.48613e+09,8.51194e+08,4.7787e+08,3.73324e+08,1.51426e+10,1.67878e+08,1.52194e+10,1.68647e+08,1.17414e+09,2.27055e+10,1.19785e+09,6.46517e+08,3.73324e+08,3.16324e+06,2.21956e+06,9.32066e+06,9.32066e+06,9.32066e+06,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18050,0,117,5,12,2506555392,13806,140736795509360,139989821071688,0,111,3380339,400,0,32768,0,6.70259e+08,2.51792e+07,842188,8.58146e+08,2.60214e+07,1.20213e+08,664048,106852,4.97319e+07,6.55921e+06,5.26158e+08,4.11056e+08,-4.38409e+08,4.64431e+08,4294,1.65411e+09,1.67549e+09,8.19895e+08,2.30884e+08,1.56655e+09,2.36644e+10,1.43504e+10,1.02629e+07,4.61984e+09,2.25848e+09,2.24954e+09,5.2924e+06,6.81372e+09,1.85984e+10,7.57248e+09,8.24274e+09,9.37214e+08,5.26158e+08,4.11056e+08,1.6673e+10,1.84847e+08,1.67576e+10,1.85689e+08,1.29291e+09,2.50004e+10,1.31894e+09,7.11847e+08,4.11056e+08,3.483e+06,2.44386e+06,1.02629e+07,1.02629e+07,1.02629e+07,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18050,0,118,5,12,2506555392,13806,140736795509360,139989821071688,0,111,3381579,400,0,32768,0,7.32087e+08,2.74197e+07,915289,9.39659e+08,2.8335e+07,1.31541e+08,725104,116678,5.43057e+07,7.16247e+06,5.74549e+08,4.48848e+08,-4.78818e+08,5.07153e+08,4689,1.80627e+09,1.82958e+09,8.95296e+08,2.52111e+08,1.71066e+09,2.58401e+10,1.56702e+10,1.12066e+07,5.04453e+09,2.46618e+09,2.45637e+09,5.7792e+06,7.44046e+09,2.0309e+10,8.26847e+09,9.00056e+09,1.0234e+09,5.74549e+08,4.48848e+08,1.82067e+10,2.01846e+08,1.82991e+10,2.02762e+08,1.41187e+09,2.72997e+10,1.44021e+09,7.7731e+08,4.48848e+08,3.80328e+06,2.66859e+06,1.12066e+07,1.12066e+07,1.12066e+07,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18050,0,118,5,12,2506555392,13806,140736795509360,139989821071688,0,111,3382819,400,0,32768,0,7.94051e+08,2.96647e+07,988535,1.02184e+09,3.06532e+07,1.43015e+08,786289,126525,5.88884e+07,7.7669e+06,6.23042e+08,4.8672e+08,-5.1929e+08,5.49943e+08,5085,1.95867e+09,1.984e+09,9.70857e+08,2.73383e+08,1.85499e+09,2.80204e+10,1.69932e+10,1.21526e+07,5.47023e+09,2.67431e+09,2.66363e+09,6.26704e+06,8.06824e+09,2.20232e+10,8.96593e+09,9.75998e+09,1.10976e+09,6.23042e+08,4.8672e+08,1.97428e+10,2.18885e+08,1.9843e+10,2.19874e+08,1.53109e+09,2.9603e+10,1.56174e+09,8.42916e+08,4.8672e+08,4.12424e+06,2.89379e+06,1.21526e+07,1.21526e+07,1.21526e+07,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18051,0,118,5,12,2506555392,13806,140736795509360,139989821071688,0,111,3384059,400,0,32768,0,8.56151e+08,3.19142e+07,1.06193e+06,1.1047e+09,3.29761e+07,1.54704e+08,847768,136392,6.34799e+07,8.37249e+06,6.71613e+08,5.24672e+08,-5.59848e+08,5.92824e+08,5482,2.11139e+09,2.13867e+09,1.04658e+09,2.947e+08,1.99963e+09,3.02054e+10,1.83184e+10,1.31001e+07,5.89662e+09,2.88289e+09,2.87131e+09,6.75567e+06,8.6974e+09,2.37402e+10,9.66487e+09,1.0521e+10,1.19629e+09,6.71613e+08,5.24672e+08,2.12822e+10,2.35954e+08,2.13902e+10,2.37015e+08,1.65055e+09,3.19112e+10,1.68353e+09,9.08628e+08,5.24672e+08,4.44588e+06,3.1194e+06,1.31001e+07,1.31001e+07,1.31001e+07,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18621,0,120,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3385299,400,0,32768,0,9.18387e+08,3.41696e+07,1.13551e+06,1.18771e+09,3.53051e+07,1.66437e+08,930277,146280,6.80825e+07,8.97953e+06,7.20312e+08,5.62705e+08,-6.00513e+08,6.35819e+08,5879,2.26452e+09,2.29374e+09,1.12246e+09,3.16074e+08,2.14465e+09,3.23961e+10,1.9647e+10,1.40498e+07,6.32402e+09,3.09191e+09,3.07954e+09,7.24561e+06,9.32795e+09,2.54617e+10,1.03653e+10,1.12837e+10,1.28302e+09,7.20312e+08,5.62705e+08,2.28257e+10,2.53061e+08,2.29415e+10,2.54197e+08,1.77027e+09,3.42252e+10,1.80558e+09,9.74509e+08,5.62705e+08,4.7682e+06,3.34556e+06,1.40498e+07,1.40498e+07,1.40498e+07,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18622,0,120,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3386539,400,0,32768,0,9.80759e+08,3.64295e+07,1.20924e+06,1.27089e+09,3.76388e+07,1.78169e+08,1.01492e+06,155997,7.26961e+07,9.58804e+06,7.69114e+08,6.00817e+08,-6.41265e+08,6.78904e+08,6277,2.41796e+09,2.44914e+09,1.1985e+09,3.37481e+08,2.28998e+09,3.45904e+10,2.09777e+10,1.50018e+07,6.75243e+09,3.30137e+09,3.28819e+09,7.7366e+06,9.95987e+09,2.71868e+10,1.10672e+10,1.20479e+10,1.36993e+09,7.69114e+08,6.00817e+08,2.43724e+10,2.70209e+08,2.44961e+10,2.71418e+08,1.89024e+09,3.6544e+10,1.92788e+09,1.04053e+09,6.00817e+08,5.0912e+06,3.57219e+06,1.50018e+07,1.50018e+07,1.50018e+07,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18622,0,120,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3387779,400,0,32768,0,1.04327e+09,3.86939e+07,1.28312e+06,1.35423e+09,3.9977e+07,1.89923e+08,1.10068e+06,165388,7.73185e+07,1.01977e+07,8.18019e+08,6.3901e+08,-6.8208e+08,7.22057e+08,6676,2.57166e+09,2.60487e+09,1.2747e+09,3.58934e+08,2.43553e+09,3.67892e+10,2.23117e+10,1.59553e+07,7.18186e+09,3.51127e+09,3.49727e+09,8.22837e+06,1.05932e+10,2.89147e+10,1.17705e+10,1.28138e+10,1.45703e+09,8.18019e+08,6.3901e+08,2.59215e+10,2.87386e+08,2.60531e+10,2.88669e+08,2.01047e+09,3.88668e+10,2.05045e+09,1.10669e+09,6.3901e+08,5.41488e+06,3.7993e+06,1.59553e+07,1.59553e+07,1.59553e+07,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18622,0,120,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3389019,400,0,32768,0,1.10588e+09,4.09628e+07,1.35714e+06,1.43774e+09,4.23199e+07,2.01699e+08,1.18793e+06,174473,8.19497e+07,1.08085e+07,8.67001e+08,6.77284e+08,-7.22981e+08,7.65301e+08,7076,2.72567e+09,2.76085e+09,1.35106e+09,3.80431e+08,2.58139e+09,3.89927e+10,2.36479e+10,1.6911e+07,7.61197e+09,3.72161e+09,3.70668e+09,8.72119e+06,1.12275e+10,3.06462e+10,1.24754e+10,1.35812e+10,1.54428e+09,8.67001e+08,6.77284e+08,2.74739e+10,3.04603e+08,2.76133e+10,3.0596e+08,2.13095e+09,4.11946e+10,2.17327e+09,1.17296e+09,6.77284e+08,5.73925e+06,4.02683e+06,1.6911e+07,1.6911e+07,1.6911e+07,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18638,0,120,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3390259,400,0,32768,0,1.16862e+09,4.32361e+07,1.43131e+06,1.52141e+09,4.46674e+07,2.13504e+08,1.27759e+06,183258,8.65907e+07,1.14206e+07,9.16086e+08,7.15637e+08,-7.63968e+08,8.08636e+08,7477,2.88001e+09,2.91715e+09,1.42754e+09,4.01974e+08,2.72756e+09,4.12008e+10,2.49874e+10,1.78683e+07,8.04309e+09,3.9324e+09,3.91651e+09,9.21506e+06,1.18632e+10,3.23814e+10,1.31817e+10,1.43503e+10,1.63172e+09,9.16086e+08,7.15637e+08,2.90295e+10,3.21849e+08,2.91769e+10,3.23281e+08,2.25168e+09,4.35272e+10,2.29634e+09,1.23937e+09,7.15637e+08,6.0643e+06,4.25483e+06,1.78683e+07,1.78683e+07,1.78683e+07,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18638,0,121,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3391499,400,0,32768,0,1.2315e+09,4.55139e+07,1.50563e+06,1.6053e+09,4.70196e+07,2.25332e+08,1.36748e+06,191768,9.12066e+07,1.20337e+07,9.65273e+08,7.54071e+08,-8.05042e+08,8.52061e+08,7878,3.03466e+09,3.07377e+09,1.50418e+09,4.23561e+08,2.87403e+09,4.34136e+10,2.63291e+10,1.88278e+07,8.47489e+09,4.14351e+09,4.12678e+09,9.70998e+06,1.25003e+10,3.41202e+10,1.38895e+10,1.5121e+10,1.71934e+09,9.65273e+08,7.54071e+08,3.05884e+10,3.39135e+08,3.07437e+10,3.40641e+08,2.37266e+09,4.58647e+10,2.41968e+09,1.30591e+09,7.54071e+08,6.38985e+06,4.48331e+06,1.88278e+07,1.88278e+07,1.88278e+07,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18639,0,121,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3392739,400,0,32768,0,1.29448e+09,4.77962e+07,1.58009e+06,1.68936e+09,4.93763e+07,2.37181e+08,1.45753e+06,200030,9.57998e+07,1.26483e+07,1.01456e+09,7.92565e+08,-8.46201e+08,8.95578e+08,8280,3.18965e+09,3.23073e+09,1.58098e+09,4.45194e+08,3.02081e+09,4.56298e+10,2.7674e+10,1.97888e+07,8.9077e+09,4.35507e+09,4.33747e+09,1.02057e+07,1.31385e+10,3.58626e+10,1.45988e+10,1.58933e+10,1.80713e+09,1.01456e+09,7.92565e+08,3.21506e+10,3.56451e+08,3.23138e+10,3.58031e+08,2.49383e+09,4.82071e+10,2.54321e+09,1.37259e+09,7.92565e+08,6.71609e+06,4.71221e+06,1.97888e+07,1.97888e+07,1.97888e+07,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18639,0,121,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3393979,400,0,32768,0,1.3576e+09,5.0083e+07,1.65469e+06,1.77357e+09,5.17377e+07,2.49053e+08,1.54775e+06,208053,1.0037e+08,1.32641e+07,1.06396e+09,8.31139e+08,-8.87424e+08,9.39162e+08,8683,3.34495e+09,3.38801e+09,1.65794e+09,4.66861e+08,3.1679e+09,4.78507e+10,2.90212e+10,2.07521e+07,9.34119e+09,4.56707e+09,4.54859e+09,1.07024e+07,1.3778e+10,3.76087e+10,1.53092e+10,1.66668e+10,1.8951e+09,1.06396e+09,8.31139e+08,3.37152e+10,3.73806e+08,3.38863e+10,3.75461e+08,2.61526e+09,5.05531e+10,2.667e+09,1.43942e+09,8.31139e+08,7.04301e+06,4.94158e+06,2.07521e+07,2.07521e+07,2.07521e+07,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18639,0,121,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3395219,400,0,32768,0,1.42086e+09,5.23742e+07,1.72949e+06,1.85795e+09,5.41037e+07,2.60947e+08,1.63813e+06,216076,1.04916e+08,1.38774e+07,1.11345e+09,8.69793e+08,-9.28733e+08,9.82837e+08,9087,3.5005e+09,3.54562e+09,1.73506e+09,4.88572e+08,3.31521e+09,5.00761e+10,3.03706e+10,2.17176e+07,9.7757e+09,4.77951e+09,4.76014e+09,1.12002e+07,1.44189e+10,3.93575e+10,1.6021e+10,1.74419e+10,1.98325e+09,1.11345e+09,8.69793e+08,3.5283e+10,3.91191e+08,3.54621e+10,3.9292e+08,2.73694e+09,5.2904e+10,2.79104e+09,1.50637e+09,8.69793e+08,7.37061e+06,5.17143e+06,2.17176e+07,2.17176e+07,2.17176e+07,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18639,0,122,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3396459,400,0,32768,0,1.48425e+09,5.46714e+07,1.80444e+06,1.9425e+09,5.64758e+07,2.7287e+08,1.72874e+06,224115,1.09447e+08,1.44882e+07,1.16303e+09,9.08528e+08,-9.70127e+08,1.0266e+09,9492,3.65637e+09,3.70355e+09,1.81234e+09,5.10329e+08,3.46283e+09,5.23062e+10,3.17232e+10,2.26847e+07,1.02109e+10,4.99239e+09,4.97213e+09,1.16991e+07,1.50612e+10,4.11099e+10,1.67344e+10,1.82186e+10,2.07155e+09,1.16303e+09,9.08528e+08,3.68541e+10,4.08615e+08,3.70412e+10,4.1042e+08,2.85887e+09,5.52598e+10,2.91534e+09,1.57345e+09,9.08528e+08,7.6989e+06,5.40176e+06,2.26847e+07,2.26847e+07,2.26847e+07,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18640,0,122,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3397699,400,0,32768,0,1.54774e+09,5.69731e+07,1.87953e+06,2.02721e+09,5.88526e+07,2.84815e+08,1.81952e+06,232169,1.13962e+08,1.50964e+07,1.2127e+09,9.47342e+08,-1.01161e+09,1.07046e+09,9897,3.81256e+09,3.86173e+09,1.88978e+09,5.32131e+08,3.61075e+09,5.4541e+10,3.30781e+10,2.3654e+07,1.06471e+10,5.20571e+09,5.18454e+09,1.21987e+07,1.57045e+10,4.2866e+10,1.74492e+10,1.89969e+10,2.16004e+09,1.2127e+09,9.47342e+08,3.84285e+10,4.26069e+08,3.86235e+10,4.27949e+08,2.98105e+09,5.76205e+10,3.03991e+09,1.64065e+09,9.47342e+08,8.02786e+06,5.63251e+06,2.3654e+07,2.3654e+07,2.3654e+07,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18640,0,122,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3398939,400,0,32768,0,1.61137e+09,5.92792e+07,1.95477e+06,2.11208e+09,6.1234e+07,2.96783e+08,1.91046e+06,240239,1.18486e+08,1.57018e+07,1.26284e+09,9.86237e+08,-1.05317e+09,1.11441e+09,10303,3.96908e+09,4.02024e+09,1.96734e+09,5.53977e+08,3.75899e+09,5.67803e+10,3.44362e+10,2.46247e+07,1.10843e+10,5.41936e+09,5.39738e+09,1.26994e+07,1.63492e+10,4.46257e+10,1.81655e+10,1.97769e+10,2.24908e+09,1.26284e+09,9.86237e+08,4.00061e+10,4.43563e+08,4.02092e+10,4.45518e+08,3.10342e+09,5.9986e+10,3.16466e+09,1.70836e+09,9.86237e+08,8.35734e+06,5.86373e+06,2.46247e+07,2.46247e+07,2.46247e+07,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18640,0,122,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3400179,400,0,32768,0,1.67513e+09,6.15899e+07,2.03015e+06,2.19712e+09,6.362e+07,3.08772e+08,2.00158e+06,248324,1.23017e+08,1.6305e+07,1.31336e+09,1.02519e+09,-1.09482e+09,1.15844e+09,10710,4.12592e+09,4.17908e+09,2.04506e+09,5.75858e+08,3.90752e+09,5.90232e+10,3.57966e+10,2.55978e+07,1.15222e+10,5.63346e+09,5.61065e+09,1.32011e+07,1.69953e+10,4.63891e+10,1.88829e+10,2.0558e+10,2.33855e+09,1.31336e+09,1.02519e+09,4.1587e+10,4.61086e+08,4.1798e+10,4.63116e+08,3.22605e+09,6.2356e+10,3.28967e+09,1.77648e+09,1.02519e+09,8.68749e+06,6.09538e+06,2.55978e+07,2.55978e+07,2.55978e+07,0,0,0
EXIT-org/apache/hadoop/hbase/util/Bytes$toBytes,18640,0,123,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3401419,400,0,32768,0,1.739e+09,6.3905e+07,2.10568e+06,2.28232e+09,6.60107e+07,3.20784e+08,2.09286e+06,256425,1.2756e+08,1.6905e+07,1.36419e+09,1.06423e+09,-1.13654e+09,1.20255e+09,11118,4.28308e+09,4.33824e+09,2.12294e+09,5.97784e+08,4.05637e+09,6.12706e+10,3.71602e+10,2.65724e+07,1.19611e+10,5.84799e+09,5.82435e+09,1.37039e+07,1.76424e+10,4.81551e+10,1.96017e+10,2.13407e+10,2.42842e+09,1.36419e+09,1.06423e+09,4.31702e+10,4.78649e+08,4.33894e+10,4.80755e+08,3.34893e+09,6.47301e+10,3.41494e+09,1.84494e+09,1.06423e+09,9.01833e+06,6.32749e+06,2.65724e+07,2.65724e+07,2.65724e+07,0,0,0
ENTER-org/apache/hadoop/hbase/util/Bytes$toBytes,18640,0,123,5,12,2506555392,14333,140736795509360,139989821071688,0,111,3402659,400,0,32768,0,1.803e+09,6.62246e+07,2.18135e+06,2.36768e+09,6.84059e+07,3.32825e+08,2.18436e+06,264547,1.32111e+08,1.75053e+07,1.41532e+09,1.10366e+09,-1.17834e+09,1.24675e+09,11527,4.44048e+09,4.49773e+09,2.20098e+09,6.19754e+08,4.20544e+09,6.35227e+10,3.8526e+10,2.75492e+07,1.24007e+10,6.06297e+09,6.03848e+09,1.42077e+07,1.82909e+10,4.99248e+10,2.03221e+10,2.21251e+10,2.51898e+09,1.41532e+09,1.10366e+09,4.47568e+10,4.96241e+08,4.4984e+10,4.98423e+08,3.47206e+09,6.71091e+10,3.54047e+09,1.91374e+09,1.10366e+09,9.34985e+06,6.56009e+06,2.75492e+07,2.75492e+07,2.75492e+07,0,0,0
